EastDVD_20240202_RM_ATL01
N/A ,CA556NYA,  1.001,23-Aug-2023,20-Dec-2023,Port4910N06820W
N/A ,CA557NYA,  1.001,23-Aug-2023,22-Jan-2024,Port4920N06820W
N/A ,CA55EPCA,  1.001,03-Aug-2023,02-Jan-2024,Port4990N06690W
N/A ,CA55EPDA,  1.001,03-Aug-2023,02-Jan-2024,Port4990N06680W
N/A ,CA55FPCA,  2.001,15-Sep-2023,23-Jan-2024,Port5000N06690W
N/A ,CA55FPDA,  2.001,15-Sep-2023,23-Jan-2024,Port5000N06680W
N/A ,CA55GPHA,  1.001,21-Jun-2023,17-Jan-2024,Port5010N06640W
N/A ,CA55HPHA,  1.001,21-Jun-2023,17-Jan-2024,Port5020N06640W
WestDVD_20240202_RM_PAC01
3000,300001.KAP,19890120,20240105,1051,JUAN DE FUCA STRAIT TO/A DIXON ENTRANCE
3001,300101.KAP,20010223,20240105,1056,VANCOUVER ISLAND/ILE DE VANCOUVER
3602,360201.KAP,20021129,20240105,1049,APPROACHES TO / APPROCHES A JUAN DE FUCA STRAIT
3606,360601.KAP,20021129,20240105,1044,JUAN DE FUCA STRAIT
3671,367101.KAP,20051104,20240202,2043,BARKLEY SOUND
WestDVD_20240202_RM_PAC02
3000,300001.KAP,19890120,20240105,1051,JUAN DE FUCA STRAIT TO/A DIXON ENTRANCE
3001,300101.KAP,20010223,20240105,1056,VANCOUVER ISLAND/ILE DE VANCOUVER
3441,344101.KAP,20050701,20240202,2058,HARO STRAIT
3441,344102.KAP,20050701,20240202,2058,CONTINUATION A
3462,346201.KAP,20050701,20240202,2064,JUAN DE FUCA STRAIT TO/A STRAIT OF GEORGIA
3493,349301.KAP,20191115,20240202,4016,VANCOUVER HARBOUR - WESTERN PORTION/PARTIE OUEST
3497,349701.KAP,20220805,20240202,1002,VANCOUVER HARBOUR CENTRAL PORTION / PARTIE CENTRALE
3513,351301.KAP,19991029,20240105,1042,STRAIT OF GEORGIA - NORTHERN PORTION/PARTIE NORD
WestDVD_20240202_RM_PAC03
3000,300001.KAP,19890120,20240105,1051,JUAN DE FUCA STRAIT TO/A DIXON ENTRANCE
3908,390801.KAP,20130315,20240112,1019,KITIMAT HARBOUR
3908,390802.KAP,20130315,20240112,1019,KITIMAT
3955,395501.KAP,20220429,20240105,4005,PORPOISE HARBOUR
3955,395502.KAP,20220429,20240105,4005,VENN PASSAGE
3955,395503.KAP,20220429,20240105,4005,MORSE BASIN AND/ET DENISE INLET
3958,395801.KAP,20131213,20240105,2051,PRINCE RUPERT HARBOUR
3958,395802.KAP,20131213,20240105,2051,BUTZE RAPIDS
